Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/georgia-albania/PTbsnVb#id:10102063,Albania,Georgia,"29/03/2022, 09:00",54%,46%,No information,No information,15,5,1,4,7,1,13,8,No information,No information,No information,No information,10,21,2,3,0,0,4,1,No information,No information,6,2,5,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,8,2,No information,No information,22,18,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,10,0,0
https://www.sofascore.com/hungary-albania/PTbsjUb#id:9223787,Albania,Hungary,"05/09/2021, 09:00",64%,36%,2,2,7,9,2,2,1,2,12,15,674,379,17,17,14,12,2,4,No information,No information,2,3,1,0,5,2,0,4,3,4,4,5,No information,No information,2,2,No information,No information,No information,No information,2,0,1,2,564,276,27,32,54,65,24/54 (44%),16/51 (31%),3/12 (25%),2/9 (22%),49%,51%,10,6,36/70 (51%),34/70 (49%),12/27 (44%),15/27 (56%),5/12 (42%),6/17 (35%),53%,47%,17,17,7,12,No information,No information,17,15,No information,No information,3,5,1,0
https://www.sofascore.com/hungary-albania/PTbsjUb#id:9223897,Albania,Hungary,"09/10/2021, 11:45",36%,64%,2,2,9,7,2,2,2,1,15,12,379,674,17,17,12,14,4,2,No information,No information,3,2,0,1,2,5,4,0,4,3,5,4,No information,No information,2,2,No information,No information,No information,No information,0,2,2,1,276,564,32,27,65,54,16/51 (31%),24/54 (44%),2/9 (22%),3/12 (25%),51%,49%,6,10,34/70 (49%),36/70 (51%),15/27 (56%),12/27 (44%),6/17 (35%),5/12 (42%),47%,53%,17,17,12,7,No information,No information,15,17,No information,No information,5,3,0,1
https://www.sofascore.com/iceland-albania/PTbsiUb#id:10023375,Albania,Iceland,"06/06/2022, 11:45",38%,62%,1,2,8,21,3,4,5,14,3,12,290,457,16,11,12,3,0,2,1,0,5,4,0,0,3,5,0,12,5,12,3,9,1,1,0,1,No information,No information,No information,No information,2,1,0,4,189,368,12,27,52,73,28/58 (48%),42/81 (52%),5/12 (42%),9/31 (29%),58%,42%,9,8,32/56 (57%),24/56 (43%),31/53 (58%),22/53 (42%),4/6 (67%),10/18 (56%),56%,55%,16,11,6,7,No information,No information,32,9,No information,No information,6,7,1,1
https://www.sofascore.com/iceland-albania/PTbsiUb#id:10023395,Albania,Iceland,"27/09/2022, 11:45",62%,38%,2,1,21,8,4,3,14,5,12,3,457,290,11,16,3,12,2,0,0,1,4,5,0,0,5,3,12,0,12,5,9,3,1,1,1,0,No information,No information,No information,No information,1,2,4,0,368,189,27,12,73,52,42/81 (52%),28/58 (48%),9/31 (29%),5/12 (42%),42%,58%,8,9,24/56 (43%),32/56 (57%),22/53 (42%),31/53 (58%),10/18 (56%),4/6 (67%),55%,56%,11,16,7,6,No information,No information,9,32,No information,No information,7,6,1,1
https://www.sofascore.com/italy-albania/PTbshUb#id:10751615,Albania,Italy,"16/11/2022, 11:45",68%,32%,5,2,17,8,0,3,5,3,7,7,809,372,9,8,7,7,2,2,No information,No information,5,1,1,0,5,5,7,2,12,4,5,4,1,1,4,1,No information,No information,34,7,0,2,2,1,747,313,17,15,72,25,21/36 (58%),17/41 (41%),7/15 (47%),2/9 (22%),54%,46%,4,4,25/41 (61%),16/41 (39%),6/16 (38%),10/16 (63%),9/13 (69%),2/7 (29%),56%,63%,9,8,15,13,37,32,6,15,-0.41,-0.41,3,8,3,1
https://www.sofascore.com/italy-albania/PTbshUb#id:11873898,Albania,Italy,"15/06/2024, 12:00",32%,68%,2,5,8,17,3,0,3,5,7,7,372,809,8,9,7,7,2,2,No information,No information,1,5,0,1,5,5,2,7,4,12,4,5,1,1,1,4,No information,No information,7,34,2,0,1,2,313,747,15,17,25,72,17/41 (41%),21/36 (58%),2/9 (22%),7/15 (47%),46%,54%,4,4,16/41 (39%),25/41 (61%),10/16 (63%),6/16 (38%),2/7 (29%),9/13 (69%),63%,56%,8,9,13,15,32,37,15,6,-0.41,-0.41,8,3,1,2
https://www.sofascore.com/kazakhstan-albania/PTbsxVb#id:8600880,Albania,Kazakhstan,"11/10/2020, 06:00",40%,60%,2,5,12,18,7,4,6,5,22,11,368,572,25,15,11,20,4,1,No information,No information,5,11,0,0,3,4,4,3,5,12,7,6,0,2,2,3,No information,No information,No information,No information,1,7,1,0,276,487,18,27,54,49,30/61 (49%),35/55 (64%),0/15 (0%),5/12 (42%),49%,51%,8,11,52/106 (49%),54/106 (51%),17/34 (50%),17/34 (50%),16/23 (70%),20/34 (59%),64%,80%,25,15,16,14,No information,No information,17,11,No information,No information,5,4,0,0
https://www.sofascore.com/kazakhstan-albania/PTbsxVb#id:8600898,Albania,Kazakhstan,"15/11/2020, 09:00",60%,40%,5,2,18,12,4,7,5,6,11,22,572,368,15,25,20,11,1,4,No information,No information,11,5,0,0,4,3,3,4,12,5,6,7,2,0,3,2,No information,No information,No information,No information,7,1,0,1,487,276,27,18,49,54,35/55 (64%),30/61 (49%),5/12 (42%),0/15 (0%),51%,49%,11,8,54/106 (51%),52/106 (49%),17/34 (50%),17/34 (50%),20/34 (59%),16/23 (70%),80%,64%,15,25,14,16,No information,No information,11,17,No information,No information,4,5,3,1
https://www.sofascore.com/liechtenstein-albania/PTbsFWb#id:12258872,Albania,Liechtenstein,"03/06/2024, 11:00",No information,No information,No information,No information,14,0,0,3,7,0,9,14,No information,No information,No information,No information,14,11,0,3,0,0,6,0,No information,No information,4,0,4,0,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,0,No information,No information,16,17,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,12,3,0
