Game Link,Target Team,Opponent,Date,Ball possession For,Ball possession Against,Big chances For,Big chances Against,Total shots For,Total shots Against,Goalkeeper saves For,Goalkeeper saves Against,Corner kicks For,Corner kicks Against,Fouls For,Fouls Against,Passes For,Passes Against,Tackles For,Tackles Against,Free kicks For,Free kicks Against,Yellow cards For,Yellow cards Against,Red cards For,Red cards Against,Shots on target For,Shots on target Against,Hit woodwork For,Hit woodwork Against,Shots off target For,Shots off target Against,Blocked shots For,Blocked shots Against,Shots inside box For,Shots inside box Against,Shots outside box For,Shots outside box Against,Big chances scored For,Big chances scored Against,Big chances missed For,Big chances missed Against,Through balls For,Through balls Against,Touches in penalty area For,Touches in penalty area Against,Fouled in final third For,Fouled in final third Against,Offsides For,Offsides Against,Accurate passes For,Accurate passes Against,Throw-ins For,Throw-ins Against,Final third entries For,Final third entries Against,Long balls For,Long balls Against,Crosses For,Crosses Against,Duels For,Duels Against,Dispossessed For,Dispossessed Against,Ground duels For,Ground duels Against,Aerial duels For,Aerial duels Against,Dribbles For,Dribbles Against,Tackles won For,Tackles won Against,Total tackles For,Total tackles Against,Interceptions For,Interceptions Against,Recoveries For,Recoveries Against,Clearances For,Clearances Against,Goals prevented For,Goals prevented Against,Goal kicks For,Goal kicks Against,Goals For,Goals Against
https://www.sofascore.com/england-malta/IObsnUb#id:10752415,England,Malta,"16/06/2023, 11:45",25%,75%,0,1,4,11,2,0,2,6,12,5,278,848,12,11,4,12,2,2,No information,No information,0,3,0,0,3,3,1,5,1,7,3,4,0,1,No information,No information,0,1,No information,No information,1,2,2,1,220,788,8,22,28,60,13/35 (37%),62/66 (94%),1/7 (14%),4/11 (36%),33%,67%,5,4,21/58 (36%),37/58 (64%),4/17 (24%),13/17 (76%),5/11 (45%),14/22 (64%),67%,55%,12,11,5,8,49,43,18,8,No information,No information,5,3,0,4
https://www.sofascore.com/england-malta/IObsnUb#id:10752566,England,Malta,"17/11/2023, 11:45",75%,25%,1,0,11,4,0,2,6,2,5,12,848,278,11,12,12,4,2,2,No information,No information,3,0,0,0,3,3,5,1,7,1,4,3,1,0,No information,No information,1,0,No information,No information,2,1,1,2,788,220,22,8,60,28,62/66 (94%),13/35 (37%),4/11 (36%),1/7 (14%),67%,33%,4,5,37/58 (64%),21/58 (36%),13/17 (76%),4/17 (24%),14/22 (64%),5/11 (45%),55%,67%,11,12,8,5,43,49,8,18,No information,No information,3,5,2,0
https://www.sofascore.com/england-poland/dUbsnUb#id:9223812,England,Poland,"31/03/2021, 11:45",37%,63%,1,0,11,13,1,3,1,3,16,8,312,535,13,17,8,16,5,2,No information,No information,4,2,0,0,3,5,4,6,7,7,4,6,1,0,No information,No information,1,0,No information,No information,0,2,2,3,245,463,18,19,48,61,26/44 (59%),40/59 (68%),4/11 (36%),4/18 (22%),44%,56%,6,8,29/77 (38%),48/77 (62%),16/26 (62%),10/26 (38%),8/19 (42%),15/20 (75%),54%,47%,13,17,13,4,No information,No information,22,4,No information,No information,5,4,2,1
https://www.sofascore.com/england-poland/dUbsnUb#id:9223854,England,Poland,"08/09/2021, 11:45",63%,37%,0,1,13,11,3,1,3,1,8,16,535,312,17,13,16,8,2,5,No information,No information,2,4,0,0,5,3,6,4,7,7,6,4,0,1,No information,No information,0,1,No information,No information,2,0,3,2,463,245,19,18,61,48,40/59 (68%),26/44 (59%),4/18 (22%),4/11 (36%),56%,44%,8,6,48/77 (62%),29/77 (38%),10/26 (38%),16/26 (62%),15/20 (75%),8/19 (42%),47%,54%,17,13,4,13,No information,No information,4,22,No information,No information,4,5,1,1
https://www.sofascore.com/england-romania/CObsnUb#id:9529066,England,Romania,"06/06/2021, 09:00",55%,45%,No information,No information,15,9,5,5,4,2,9,12,No information,No information,No information,No information,12,11,0,1,0,0,6,5,No information,No information,9,4,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,0,No information,No information,20,25,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,5,11,1,0
https://www.sofascore.com/england-scotland/VTbsnUb#id:11072073,England,Scotland,"12/09/2023, 11:45",60%,40%,4,0,11,7,0,2,5,1,12,7,610,397,7,9,7,11,2,2,No information,No information,5,0,0,0,5,5,1,2,10,3,1,4,3,0,1,0,1,0,No information,No information,0,3,2,3,546,330,14,14,46,41,40/68 (59%),13/43 (30%),1/11 (9%),2/10 (20%),46%,54%,4,3,20/48 (42%),28/48 (58%),13/24 (54%),11/24 (46%),6/11 (55%),9/13 (69%),57%,56%,7,9,3,3,38,38,15,13,No information,No information,8,6,1,3
https://www.sofascore.com/england-scotland/VTbsnUb#id:8602445,England,Scotland,"18/06/2021, 12:00",40%,60%,0,4,7,11,2,0,1,5,7,12,397,610,9,7,11,7,2,2,No information,No information,0,5,0,0,5,5,2,1,3,10,4,1,0,3,0,1,0,1,No information,No information,3,0,3,2,330,546,14,14,41,46,13/43 (30%),40/68 (59%),2/10 (20%),1/11 (9%),54%,46%,3,4,28/48 (58%),20/48 (42%),11/24 (46%),13/24 (54%),9/13 (69%),6/11 (55%),56%,57%,9,7,3,3,38,38,13,15,No information,No information,6,8,0,0
https://www.sofascore.com/england-switzerland/ZTbsnUb#id:10102032,England,Switzerland,"26/03/2022, 10:30",55%,45%,No information,No information,5,9,2,1,5,5,8,11,No information,No information,No information,No information,13,9,0,0,0,0,3,3,No information,No information,2,4,0,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,2,No information,No information,14,17,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,7,3,2,1
https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752391,England,Ukraine,"26/03/2023, 09:00",32%,68%,1,1,2,11,3,0,2,2,11,7,321,695,17,10,7,11,2,2,No information,No information,1,4,0,1,1,4,0,3,1,7,1,4,1,1,No information,No information,0,1,No information,No information,1,4,0,1,256,639,14,11,37,72,21/50 (42%),24/36 (67%),0/5 (0%),6/20 (30%),43%,57%,4,9,24/51 (47%),27/51 (53%),6/18 (33%),12/18 (67%),0/6 (0%),6/14 (43%),41%,60%,17,10,5,6,48,52,22,6,No information,No information,8,4,2,0
https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,England,Ukraine,"09/09/2023, 09:00",68%,32%,1,1,11,2,0,3,2,2,7,11,695,321,10,17,11,7,2,2,No information,No information,4,1,1,0,4,1,3,0,7,1,4,1,1,1,No information,No information,1,0,No information,No information,4,1,1,0,639,256,11,14,72,37,24/36 (67%),21/50 (42%),6/20 (30%),0/5 (0%),57%,43%,9,4,27/51 (53%),24/51 (47%),12/18 (67%),6/18 (33%),6/14 (43%),0/6 (0%),60%,41%,10,17,6,5,52,48,6,22,No information,No information,4,8,1,1
