Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
cristiano-ronaldo,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,block,No information,free-kick,21.2,64.3,0,right-foot,low-centre,0,50.4,19,No information,No information,90,5,5640,64.3,21.2,49.6,0,49.6,81,1,660,shot
ruben-neves,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,block,No information,regular,19.2,49,0,right-foot,low-left,0,53.7,19,No information,No information,89,No information,5320,49,19.2,46.3,0,46.3,81,2,80,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,goal,regular,assisted,4.1,57.3,0,head,low-right,0,47.2,5.1,No information,No information,87,No information,5165,57.3,4.1,52.8,0,52.8,94.9,4,235,shot
ruben-neves,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,miss,No information,regular,23.5,53.8,0,right-foot,high,0,54.6,63.9,No information,No information,79,No information,4737,53.8,23.5,45.4,0,45.4,36.1,12,663,shot
gerson-rodrigues,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,luxembourg,save,No information,assisted,10.7,32.8,0,left-foot,low-right,0,47.1,2.5,No information,No information,71,No information,4230,32.8,10.7,52.9,0,52.9,97.5,20,1170,shot
joao-palhinha,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,goal,regular,corner,4.7,49.9,0,head,low-left,0,53.7,12.7,No information,No information,69,No information,4082,49.9,4.7,46.3,0,46.3,87.3,22,1318,shot
cristiano-ronaldo,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,save,No information,assisted,9.9,50.3,0,right-foot,high-centre,0,50.7,32.9,No information,No information,68,No information,4042,50.3,9.9,49.3,0,49.3,67.1,23,1358,shot
yvandro-borges-sanches,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,luxembourg,miss,No information,assisted,20.2,30.7,0,right-foot,right,0,0.2,2.8,No information,No information,64,No information,3786,30.7,20.2,99.8,0,99.8,97.2,27,1614,shot
bruno-fernandes,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,miss,No information,fast-break,8,50.7,0,right-foot,close-right,0,42,4.2,No information,No information,62,No information,3681,50.7,8,58,0,58,95.8,29,1719,shot
andre-silva,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:9223936,portugal,miss,No information,assisted,24.6,51.8,0,right-foot,right,0,37.1,18.1,No information,No information,58,No information,3434,51.8,24.6,62.9,0,62.9,81.9,33,1966,shot
