Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
xherdan-shaqiri,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,save,No information,assisted,11.5,54.8,0,left-foot,low-left,0,52.9,14.6,No information,No information,27,No information,1566,54.8,11.5,47.1,0,47.1,85.4,19,1134,shot
remo-freuler,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,miss,No information,assisted,6.3,57.5,0,right-foot,high,0,49.2,98.6,No information,No information,17,No information,996,57.5,6.3,50.8,0,50.8,1.4,29,1704,shot
ruben-vargas,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,save,No information,assisted,9.7,30.1,0,left-foot,low-left,0,53.5,1.3,No information,No information,14,No information,833,30.1,9.7,46.5,0,46.5,98.7,32,1867,shot
noah-okafor,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,block,No information,assisted,11.8,40.7,0,left-foot,low-centre,0,50.3,19,No information,No information,12,No information,663,40.7,11.8,49.7,0,49.7,81,34,2037,shot
manuel-akanji,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,block,No information,assisted,24.9,66.4,0,right-foot,low-left,0,53.2,19,No information,No information,11,No information,651,66.4,24.9,46.8,0,46.8,81,35,2049,shot
xherdan-shaqiri,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,block,No information,corner,11.5,27.4,0,right-foot,low-centre,0,51.2,19,No information,No information,10,No information,582,27.4,11.5,48.8,0,48.8,81,36,2118,shot
ruben-vargas,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,miss,No information,assisted,21.5,41.7,0,right-foot,close-left,0,57.6,4.2,No information,No information,5,No information,284,41.7,21.5,42.4,0,42.4,95.8,41,2416,shot
ulisses-garcia,https://www.sofascore.com/kosovo-switzerland/ZTbsBNlb#id:10752575,switzerland,block,No information,assisted,17.2,30.7,0,left-foot,low-right,0,45.5,19,No information,No information,2,No information,109,30.7,17.2,54.5,0,54.5,81,44,2591,shot

haris-seferovic,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,switzerland,block,No information,assisted,11.2,54.4,0,left-foot,low-centre,0,49.7,19,No information,No information,90,5,5690,54.4,11.2,50.3,0,50.3,81,1,610,shot
granit-xhaka,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,switzerland,save,No information,assisted,22.5,48.9,0,left-foot,low-right,0,48.1,2.5,No information,No information,89,No information,5280,48.9,22.5,51.9,0,51.9,97.5,2,120,shot
ruben-vargas,https://www.sofascore.com/cameroon-switzerland/ZTbsbVb#id:10230569,switzerland,save,No information,assisted,10.3,53,0,right-foot,low-centre,0,48.5,13.9,No information,No information,66,No information,3948,53,10.3,51.5,0,51.5,86.1,25,1452,shot
