Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
oleksandr-zinchenko,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,save,No information,assisted,22.9,51.1,0,left-foot,low-right,0,46.4,19.6,No information,No information,28,No information,1639,51.1,22.9,53.6,0,53.6,80.4,18,1061,shot
roman-yaremchuk,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,miss,No information,assisted,11.7,61.7,0,right-foot,high-right,0,39.2,79.2,No information,No information,26,No information,1518,61.7,11.7,60.8,0,60.8,20.8,20,1182,shot
oleksandr-zubkov,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,miss,No information,assisted,10,52.1,0,head,close-left,0,57,19.4,No information,No information,23,No information,1356,52.1,10,43,0,43,80.6,23,1344,shot
ruslan-malinovskyi,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,save,No information,assisted,28.4,50.1,0,left-foot,low-centre,0,51.6,5.1,No information,No information,16,No information,907,50.1,28.4,48.4,0,48.4,94.9,30,1793,shot
oleksandr-zinchenko,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,ukraine,block,No information,assisted,22.5,33,0,left-foot,low-right,0,47,19,No information,No information,13,No information,740,33,22.5,53,0,53,81,33,1960,shot
teemu-pukki,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,finland,block,No information,assisted,16.9,49.9,0,right-foot,low-centre,0,48.9,19,No information,No information,9,No information,523,49.9,16.9,51.1,0,51.1,81,37,2177,shot
teemu-pukki,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,finland,miss,No information,regular,9.4,67.6,0,right-foot,left,0,99,18.1,No information,No information,7,No information,395,67.6,9.4,1,0,1,81.9,39,2305,shot

aleksandar-trajkovski,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,north macedonia,miss,No information,regular,28.6,58.1,0,right-foot,right,0,36.6,5.6,No information,No information,90,5,5661,58.1,28.6,63.4,0,63.4,94.4,1,639,shot
aleksandar-trajkovski,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,north macedonia,miss,No information,assisted,18.4,72.1,0,right-foot,close-left,0,58.5,25,No information,No information,90,4,5594,72.1,18.4,41.5,0,41.5,75,1,706,shot
daniel-avramovski,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,north macedonia,miss,No information,assisted,13.8,49.7,0,head,left,0,63.2,18.1,No information,No information,90,3,5525,49.7,13.8,36.8,0,36.8,81.9,1,775,shot
ruslan-malinovskyi,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,ukraine,miss,No information,assisted,24.1,53.2,0,left-foot,high-left,0,57.8,81.9,No information,No information,87,No information,5172,53.2,24.1,42.2,0,42.2,18.1,4,228,shot
ruslan-malinovskyi,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,ukraine,save,No information,penalty,11.5,50,0,left-foot,low-left,0,52,17.7,No information,No information,84,No information,5012,50,11.5,48,0,48,82.3,7,388,shot
ruslan-malinovskyi,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,ukraine,block,No information,free-kick,21.8,87.1,0,left-foot,low-centre,0,51.3,19,No information,No information,80,No information,4799,87.1,21.8,48.7,0,48.7,81,11,601,shot
viktor-tsygankov,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,ukraine,miss,No information,assisted,10.4,57.3,0,left-foot,left,0,61.5,2.8,No information,No information,74,No information,4419,57.3,10.4,38.5,0,38.5,97.2,17,981,shot
enis-bardhi,https://www.sofascore.com/north-macedonia-ukraine/bUbsCVb#id:8602446,north macedonia,miss,No information,corner,25.8,36.7,0,right-foot,high,0,52.3,63.9,No information,No information,69,No information,4108,36.7,25.8,47.7,0,47.7,36.1,22,1292,shot
