Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
klaus-gjasula,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,miss,No information,regular,25.2,57.2,0,right-foot,left,0,65.5,15.3,No information,No information,45,1,2731,57.2,25.2,34.5,0,34.5,84.7,1,2669,shot
adam-buksa,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,poland,goal,regular,corner,10.9,50.4,0,head,low-right,0,47.1,9.5,No information,No information,44,No information,2627,50.4,10.9,52.9,0,52.9,90.5,2,73,shot
elseid-hysaj,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,save,No information,regular,22.6,67.2,0,left-foot,low-left,0,53,7,No information,No information,42,No information,2518,67.2,22.6,47,0,47,93,4,182,shot
rey-manaj,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,save,No information,regular,15.7,45,0,right-foot,low-left,0,53.9,5.7,No information,No information,40,No information,2371,45,15.7,46.1,0,46.1,94.3,6,329,shot
amir-abrashi,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,miss,No information,corner,24.8,68.4,0,right-foot,high-right,0,37.3,55.6,No information,No information,33,No information,1958,68.4,24.8,62.7,0,62.7,44.4,13,742,shot
rey-manaj,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,save,No information,regular,11.7,38.2,0,left-foot,low-left,0,54.1,8.9,No information,No information,32,No information,1884,38.2,11.7,45.9,0,45.9,91.1,14,816,shot
sokol-cikalleshi,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,goal,regular,assisted,5,35.9,0,left-foot,low-right,0,45.9,1.3,No information,No information,25,No information,1479,35.9,5,54.1,0,54.1,98.7,21,1221,shot
klaus-gjasula,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,albania,miss,No information,set-piece,11.4,50.4,0,head,high-right,0,40.7,51.4,No information,No information,19,No information,1125,50.4,11.4,59.3,0,59.3,48.6,27,1575,shot
robert-lewandowski,https://www.sofascore.com/poland-albania/PTbsdUb#id:9223783,poland,goal,regular,set-piece,1.6,44.5,0,head,high-left,0,52.5,25.9,No information,No information,12,No information,709,44.5,1.6,47.5,0,47.5,74.1,34,1991,shot

elseid-hysaj,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,miss,No information,fast-break,24.4,29.8,0,right-foot,high-right,0,40,70.8,No information,No information,90,1,5427,29.8,24.4,60,0,60,29.2,1,873,shot
maksim-skavysh,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,belarus,block,No information,assisted,20.2,36.7,0,right-foot,low-centre,0,49.4,13.9,No information,No information,90,1,5404,36.7,20.2,50.6,0,50.6,86.1,1,896,shot
andrei-khachaturyan,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,belarus,save,No information,assisted,31.1,47.4,0,right-foot,high-centre,0,51,28.5,No information,No information,87,No information,5163,47.4,31.1,49,0,49,71.5,4,237,shot
evgeni-yablonski,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,belarus,save,No information,regular,22.5,55.5,0,right-foot,low-centre,0,49.9,7,No information,No information,85,No information,5054,55.5,22.5,50.1,0,50.1,93,6,346,shot
odise-roshi,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,save,No information,fast-break,12.1,73.7,0,right-foot,low-centre,0,48.2,14.6,No information,No information,84,No information,4985,73.7,12.1,51.8,0,51.8,85.4,7,415,shot
keidi-bare,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,goal,regular,assisted,9.3,64.4,0,right-foot,low-left,0,54.1,3.8,No information,No information,78,No information,4675,64.4,9.3,45.9,0,45.9,96.2,13,725,shot
stanislav-dragun,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,belarus,miss,No information,assisted,7,41.7,0,head,right,0,1,2.8,No information,No information,60,No information,3549,41.7,7,99,0,99,97.2,31,1851,shot
rey-manaj,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,miss,No information,regular,24.5,55.7,0,right-foot,high-right,0,35.1,90.3,No information,No information,49,No information,2885,55.7,24.5,64.9,0,64.9,9.7,42,2515,shot
rey-manaj,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,miss,No information,assisted,11,51,0,head,left,0,69.4,4.2,No information,No information,43,No information,2563,51,11,30.6,0,30.6,95.8,3,137,shot
sokol-cikalleshi,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,goal,regular,assisted,20.5,67.1,0,left-foot,low-right,0,46.4,8.9,No information,No information,23,No information,1345,67.1,20.5,53.6,0,53.6,91.1,23,1355,shot
sokol-cikalleshi,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,miss,No information,corner,7.4,46,0,head,left,0,60.5,19.4,No information,No information,19,No information,1093,46,7.4,39.5,0,39.5,80.6,27,1607,shot
klaus-gjasula,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,miss,No information,corner,7.6,59.3,0,head,left,0,88.1,13.9,No information,No information,19,No information,1092,59.3,7.6,11.9,0,11.9,86.1,27,1608,shot
elseid-hysaj,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,block,No information,assisted,20.8,48,0,left-foot,low-left,0,54.1,19,No information,No information,15,No information,863,48,20.8,45.9,0,45.9,81,31,1837,shot
rey-manaj,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,miss,No information,assisted,13.8,57.1,0,right-foot,high-right,0,43.2,65.3,No information,No information,12,No information,664,57.1,13.8,56.8,0,56.8,34.7,34,2036,shot
sokol-cikalleshi,https://www.sofascore.com/belarus-albania/PTbsTUb#id:8600840,albania,save,No information,assisted,10.7,31.2,0,right-foot,low-right,0,47.8,8.9,No information,No information,6,No information,305,31.2,10.7,52.2,0,52.2,91.1,40,2395,shot

