Player,Game Link,Country,shotType,goalType,situation,X,Y,Z,bodyPart,goalMouthLocation,Goal Mouth X,Goal mouth Y,Goal Mouth Z,XG,XGOT,time,addedTime,timeSeconds,Start X,Start Y,End X,End Y,Goal X,Goal Y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType
nikola-milenkovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,block,No information,corner,3,62,0,head,low-right,0,46.7,19,No information,No information,58,No information,3431,62,3,53.3,0,53.3,81,33,1969,shot
aleksandar-mitrovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,block,No information,assisted,7.4,54,0,head,low-centre,0,49,19,No information,No information,57,No information,3399,54,7.4,51,0,51,81,34,2001,shot
nemanja-gudelj,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,miss,No information,assisted,27.6,30.1,0,right-foot,high,0,45,81.9,No information,No information,55,No information,3255,30.1,27.6,55,0,55,18.1,36,2145,shot
dusan-tadic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,block,No information,regular,24.7,65.8,0,left-foot,low-centre,0,50.7,19,No information,No information,48,No information,2871,65.8,24.7,49.3,0,49.3,81,43,2529,shot
stevan-jovetic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,miss,No information,assisted,23.9,28.9,0,right-foot,high-right,0,30.8,80.6,No information,No information,39,No information,2293,28.9,23.9,69.2,0,69.2,19.4,7,407,shot
stevan-jovetic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,goal,regular,fast-break,14.3,35.8,0,left-foot,high-right,0,46.8,25.3,No information,No information,36,No information,2128,35.8,14.3,53.2,0,53.2,74.7,10,572,shot
marko-tuci,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,miss,No information,corner,7,41.7,0,head,left,0,59.7,18.1,No information,No information,34,No information,1990,41.7,7,40.3,0,40.3,81.9,12,710,shot
andrija-zivkovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,post,No information,assisted,12.5,68.8,0,left-foot,left,0,55.5,3.8,No information,No information,26,No information,1526,68.8,12.5,44.5,0,44.5,96.2,20,1174,shot
adam-marusic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,save,No information,assisted,13.1,47.4,0,head,low-centre,0,48.4,19.6,No information,No information,23,No information,1337,47.4,13.1,51.6,0,51.6,80.4,23,1363,shot
nikola-krstovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,montenegro,miss,No information,assisted,11.8,54.4,0,right-foot,right,0,36.1,11.1,No information,No information,20,No information,1154,54.4,11.8,63.9,0,63.9,88.9,26,1546,shot
aleksandar-mitrovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,save,No information,assisted,26.5,45.2,0,right-foot,low-centre,0,48.9,3.8,No information,No information,12,No information,682,45.2,26.5,51.1,0,51.1,96.2,34,2018,shot
aleksandar-mitrovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,goal,regular,assisted,12,66.4,0,right-foot,low-left,0,54.1,16.5,No information,No information,9,No information,507,66.4,12,45.9,0,45.9,83.5,37,2193,shot
aleksandar-mitrovic,https://www.sofascore.com/montenegro-serbia/fCcsORc#id:10752549,serbia,miss,No information,assisted,8,46.8,0,head,close-high-left,0,57.1,59.7,No information,No information,2,No information,119,46.8,8,42.9,0,42.9,40.3,44,2581,shot

fedor-cernych,https://www.sofascore.com/serbia-lithuania/BVbsfCc#id:10752491,lithuania,block,No information,assisted,19.2,48.8,0,right-foot,low-right,0,46.3,19,No information,No information,90,No information,5343,48.8,19.2,53.7,0,53.7,81,1,57,shot
