Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Iceland,https://www.sofascore.com/iceland-portugal/eUbsiUb#id:10752458,74%,No information,4,23,4,14,9,787,10,6,2,No information,11,1,8,4,16,7,1,3,2,No information,2,3,710,15,68,27/42 (64%),6/30 (20%),50%,1,28/58 (48%),17/32 (53%),12/22 (55%),60%,10,8,59,17,No information,4,3,1,"20/06/2023, 11:45"
Portugal,https://www.sofascore.com/iceland-portugal/eUbsiUb#id:10752458,26%,No information,0,9,9,0,7,275,11,9,4,No information,4,1,3,2,6,3,0,0,0,No information,0,0,199,12,39,23/50 (46%),1/8 (13%),50%,5,30/58 (52%),15/32 (47%),11/16 (69%),55%,11,12,48,38,No information,9,9,0,"20/06/2023, 11:45"

Portugal,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:10752498,66%,No information,7,22,1,5,10,641,9,15,0,No information,10,1,9,3,19,3,4,3,3,No information,4,0,578,14,73,24/37 (65%),9/21 (43%),52%,6,39/74 (53%),8/17 (47%),15/26 (58%),67%,9,4,56,6,No information,1,3,9,"11/09/2023, 11:45"
Luxembourg,https://www.sofascore.com/portugal-luxembourg/DObseUb#id:10752498,34%,No information,0,4,1,2,15,330,17,9,3,No information,1,0,1,2,3,1,0,0,0,No information,0,1,261,12,19,29/55 (53%),1/7 (14%),48%,5,35/74 (47%),9/17 (53%),9/13 (69%),65%,17,6,44,22,No information,1,13,0,"11/09/2023, 11:45"

Portugal,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752521,58%,No information,10,25,2,11,10,562,16,8,2,No information,12,1,10,3,18,7,3,7,3,No information,2,3,480,9,53,30/49 (61%),6/20 (30%),56%,7,36/67 (54%),13/21 (62%),12/22 (55%),44%,16,7,64,20,No information,2,6,3,"13/10/2023, 11:45"
Slovakia,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752521,42%,No information,0,9,9,2,10,402,17,10,5,No information,3,0,5,1,1,8,0,0,0,No information,3,1,331,15,44,23/37 (62%),0/16 (0%),44%,7,31/67 (46%),8/21 (38%),4/13 (31%),47%,17,11,54,21,No information,9,7,2,"13/10/2023, 11:45"

Bosnia & herzegovina,https://www.sofascore.com/portugal-bosnia-and-herzegovina/EObseUb#id:10752545,32%,No information,0,3,1,4,7,345,13,8,2,No information,0,0,2,1,3,0,0,0,0,No information,0,1,284,13,27,14/35 (40%),2/11 (18%),58%,6,28/49 (57%),10/16 (63%),8/14 (57%),54%,13,7,49,12,No information,1,4,5,"16/10/2023, 11:45"
Portugal,https://www.sofascore.com/portugal-bosnia-and-herzegovina/EObseUb#id:10752545,68%,No information,5,9,0,2,9,752,12,6,0,No information,6,0,1,2,8,1,4,1,3,No information,2,1,693,10,71,42/57 (74%),1/14 (7%),42%,8,21/49 (43%),6/16 (38%),3/8 (38%),58%,12,8,57,8,No information,0,4,0,"16/10/2023, 11:45"

Slovakia,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752474,58%,No information,10,25,2,11,10,562,16,8,2,No information,12,1,10,3,18,7,3,7,3,No information,2,3,480,9,53,30/49 (61%),6/20 (30%),56%,7,36/67 (54%),13/21 (62%),12/22 (55%),44%,16,7,64,20,No information,2,6,1,"08/09/2023, 11:45"
Portugal,https://www.sofascore.com/portugal-slovakia/XTbseUb#id:10752474,42%,No information,0,9,9,2,10,402,17,10,5,No information,3,0,5,1,1,8,0,0,0,No information,3,1,331,15,44,23/37 (62%),0/16 (0%),44%,7,31/67 (46%),8/21 (38%),4/13 (31%),47%,17,11,54,21,No information,9,7,0,"08/09/2023, 11:45"

Spain,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023333,32%,No information,1,9,4,5,15,317,21,14,3,No information,4,0,3,2,7,2,0,1,1,No information,2,3,243,15,35,23/49 (47%),2/15 (13%),52%,5,40/77 (52%),15/28 (54%),6/16 (38%),71%,21,9,No information,21,No information,4,6,1,"02/06/2022, 11:45"
Portugal,https://www.sofascore.com/portugal-spain/YTbseUb#id:10023333,68%,No information,1,10,4,7,14,682,15,15,2,No information,5,1,2,3,5,5,1,0,0,No information,1,2,623,17,66,31/38 (82%),2/18 (11%),48%,8,37/77 (48%),13/28 (46%),7/20 (35%),73%,15,10,No information,12,No information,4,4,1,"02/06/2022, 11:45"

Portugal,https://www.sofascore.com/portugal-switzerland/ZTbseUb#id:10023394,48%,2.36,5,15,1,6,12,449,16,10,0,No information,9,0,3,3,11,4,4,1,1,No information,1,3,372,18,44,23/57 (40%),6/14 (43%),57%,3,29/48 (60%),10/21 (48%),3/5 (60%),81%,16,8,No information,10,-0.04,1,7,4,"05/06/2022, 11:45"
Switzerland,https://www.sofascore.com/portugal-switzerland/ZTbseUb#id:10023394,52%,1.07,2,10,3,6,10,488,5,12,2,No information,3,0,3,4,5,5,1,1,0,No information,1,3,412,27,50,23/49 (47%),1/15 (7%),43%,9,19/48 (40%),11/21 (52%),2/9 (22%),80%,5,5,No information,14,-0.88,3,5,0,"05/06/2022, 11:45"

Czechia,https://www.sofascore.com/czech-republic-portugal/eUbsoUb#id:10023353,73%,1.85,4,19,0,13,6,704,10,7,2,No information,8,0,4,7,10,9,1,3,2,35,1,3,618,17,75,28/46 (61%),4/29 (14%),56%,6,26/51 (51%),24/39 (62%),10/20 (50%),80%,10,4,60,7,-0.66,0,5,4,"24/09/2022, 11:45"
