Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Ukraine,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,32%,No information,1,2,3,2,11,321,17,7,2,No information,1,0,1,0,1,1,1,No information,0,No information,1,0,256,14,37,21/50 (42%),0/5 (0%),43%,4,24/51 (47%),6/18 (33%),0/6 (0%),41%,17,5,48,22,No information,3,8,1,"09/09/2023, 09:00"
England,https://www.sofascore.com/england-ukraine/bUbsnUb#id:10752478,68%,No information,1,11,0,2,7,695,10,11,2,No information,4,1,4,3,7,4,1,No information,1,No information,4,1,639,11,72,24/36 (67%),6/20 (30%),57%,9,27/51 (53%),12/18 (67%),6/14 (43%),60%,10,6,52,6,No information,0,4,1,"09/09/2023, 09:00"

Malta,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752548,35%,No information,0,17,5,0,15,339,17,15,1,No information,4,1,8,5,3,14,0,No information,No information,No information,1,0,261,18,48,23/61 (38%),0/11 (0%),48%,7,37/70 (53%),5/18 (28%),6/10 (60%),65%,17,13,66,14,No information,5,7,3,"17/10/2023, 11:45"
Ukraine,https://www.sofascore.com/ukraine-malta/IObsbUb#id:10752548,65%,No information,1,17,3,4,16,653,11,15,2,No information,7,0,6,4,4,13,1,No information,No information,No information,3,1,574,17,55,45/64 (70%),2/9 (22%),52%,6,33/70 (47%),13/18 (72%),8/19 (42%),73%,11,7,64,10,No information,3,8,1,"17/10/2023, 11:45"

M'gladbach,https://www.sofascore.com/ukraine-borussia-mgladbach/CabsbUb#id:10289155,No information,No information,No information,No information,No information,2,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,2,"11/05/2022, 11:45"
Ukraine,https://www.sofascore.com/ukraine-borussia-mgladbach/CabsbUb#id:10289155,No information,No information,No information,No information,No information,8,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,"11/05/2022, 11:45"

Scotland,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10255456,54%,No information,4,12,1,5,14,467,13,6,4,No information,3,0,7,2,8,4,No information,4,1,No information,1,5,379,30,53,26/55 (47%),5/18 (28%),47%,5,26/52 (50%),11/26 (42%),7/10 (70%),46%,13,16,No information,12,No information,1,5,3,"01/06/2022, 11:45"
Ukraine,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10255456,46%,No information,0,7,3,5,6,397,8,14,3,No information,1,0,3,3,3,4,No information,0,0,No information,4,1,308,23,66,37/71 (52%),1/16 (6%),53%,5,26/52 (50%),15/26 (58%),5/13 (38%),50%,8,11,No information,10,No information,3,11,1,"01/06/2022, 11:45"

Wales,https://www.sofascore.com/wales-ukraine/bUbscUb#id:10351750,32%,No information,1,10,9,4,7,270,15,6,2,No information,4,1,4,2,5,5,No information,1,No information,No information,2,2,189,16,53,25/58 (43%),4/15 (27%),50%,7,31/59 (53%),12/27 (44%),10/19 (53%),33%,15,13,No information,20,No information,9,8,1,"05/06/2022, 09:00"
Ukraine,https://www.sofascore.com/wales-ukraine/bUbscUb#id:10351750,68%,No information,3,22,3,7,7,580,16,7,2,No information,9,0,8,5,11,11,No information,3,No information,No information,2,1,489,22,61,37/63 (59%),3/20 (15%),50%,12,28/59 (47%),15/27 (56%),6/9 (67%),81%,16,2,No information,15,No information,3,9,0,"05/06/2022, 09:00"

Ireland,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023397,62%,No information,1,9,2,0,14,634,12,10,3,No information,3,0,5,1,7,2,1,0,No information,No information,2,1,548,18,61,44/68 (65%),2/10 (20%),49%,6,28/60 (47%),16/30 (53%),6/12 (50%),75%,12,13,No information,10,No information,2,5,1,"08/06/2022, 11:45"
Ukraine,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023397,38%,No information,1,8,2,2,10,381,12,13,2,No information,3,0,4,1,5,3,0,1,No information,No information,2,1,295,21,58,35/70 (50%),4/20 (20%),51%,6,32/60 (53%),14/30 (47%),8/14 (57%),58%,12,13,No information,15,No information,2,11,0,"08/06/2022, 11:45"

Ukraine,https://www.sofascore.com/armenia-ukraine/bUbsPUb#id:10023319,37%,No information,0,12,2,2,3,316,9,15,2,No information,4,0,4,4,5,7,0,No information,0,No information,4,4,238,27,40,21/61 (34%),3/6 (50%),50%,7,31/57 (54%),4/13 (31%),7/16 (44%),89%,9,9,No information,8,No information,2,10,3,"11/06/2022, 06:00"
Armenia,https://www.sofascore.com/armenia-ukraine/bUbsPUb#id:10023319,63%,No information,4,15,4,6,16,552,16,3,2,No information,6,0,7,2,10,5,4,No information,1,No information,0,0,480,20,64,31/58 (53%),4/12 (33%),50%,5,26/57 (46%),9/13 (69%),7/11 (64%),56%,16,9,No information,5,No information,4,5,0,"11/06/2022, 06:00"

Ukraine,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,62%,No information,1,9,2,0,14,634,12,10,3,No information,3,0,5,1,7,2,1,0,No information,No information,2,1,548,18,61,44/68 (65%),2/10 (20%),49%,6,28/60 (47%),16/30 (53%),6/12 (50%),75%,12,13,No information,10,No information,2,5,1,"14/06/2022, 11:45"
Ireland,https://www.sofascore.com/ukraine-ireland/TTbsbUb#id:10023703,38%,No information,1,8,2,2,10,381,12,13,2,No information,3,0,4,1,5,3,0,1,No information,No information,2,1,295,21,58,35/70 (50%),4/20 (20%),51%,6,32/60 (53%),14/30 (47%),8/14 (57%),58%,12,13,No information,15,No information,2,11,1,"14/06/2022, 11:45"

Scotland,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023321,54%,No information,4,12,1,5,14,467,13,6,4,No information,3,0,7,2,8,4,No information,4,1,No information,1,5,379,30,53,26/55 (47%),5/18 (28%),47%,5,26/52 (50%),11/26 (42%),7/10 (70%),46%,13,16,No information,12,No information,1,5,3,"21/09/2022, 11:45"
Ukraine,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023321,46%,No information,0,7,3,5,6,397,8,14,3,No information,1,0,3,3,3,4,No information,0,0,No information,4,1,308,23,66,37/71 (52%),1/16 (6%),53%,5,26/52 (50%),15/26 (58%),5/13 (38%),50%,8,11,No information,10,No information,3,11,0,"21/09/2022, 11:45"

Armenia,https://www.sofascore.com/armenia-ukraine/bUbsPUb#id:10023444,37%,No information,0,12,2,2,3,316,9,15,2,No information,4,0,4,4,5,7,0,No information,0,No information,4,4,238,27,40,21/61 (34%),3/6 (50%),50%,7,31/57 (54%),4/13 (31%),7/16 (44%),89%,9,9,No information,8,No information,2,10,5,"24/09/2022, 06:00"
Ukraine,https://www.sofascore.com/armenia-ukraine/bUbsPUb#id:10023444,63%,No information,4,15,4,6,16,552,16,3,2,No information,6,0,7,2,10,5,4,No information,1,No information,0,0,480,20,64,31/58 (53%),4/12 (33%),50%,5,26/57 (46%),9/13 (69%),7/11 (64%),56%,16,9,No information,5,No information,4,5,0,"24/09/2022, 06:00"

Sweden,https://www.sofascore.com/ukraine-sweden/NTbsbUb#id:8594164,46%,1.18,1,13,2,6,11,639,9,7,2,1,3,2,7,3,9,4,0,1,2,No information,1,2,534,21,86,14/45 (31%),2/18 (11%),48%,11,26/54 (48%),13/28 (46%),10/12 (83%),33%,9,5,No information,16,-0.99,2,8,2,"29/06/2021, 12:00"
Ukraine,https://www.sofascore.com/ukraine-sweden/NTbsbUb#id:8594164,54%,1.72,3,15,2,2,7,765,13,11,2,0,4,1,9,2,11,4,1,2,1,No information,2,3,660,26,73,39/80 (49%),5/17 (29%),52%,6,28/54 (52%),15/28 (54%),4/7 (57%),38%,13,13,No information,25,-0.48,2,7,1,"29/06/2021, 12:00"

Ukraine,https://www.sofascore.com/ukraine-france/GObsbUb#id:9223795,39%,No information,3,8,4,3,9,404,9,6,2,No information,3,0,5,0,5,3,0,3,0,No information,2,1,339,16,38,19/35 (54%),3/12 (25%),42%,11,18/46 (39%),8/16 (50%),4/7 (57%),67%,9,6,No information,16,No information,4,6,1,"04/09/2021, 11:45"
France,https://www.sofascore.com/ukraine-france/GObsbUb#id:9223795,61%,No information,3,16,2,3,6,649,14,8,1,No information,5,1,8,3,9,7,1,2,1,No information,1,1,583,27,79,18/34 (53%),6/17 (35%),58%,6,28/46 (61%),8/16 (50%),6/9 (67%),29%,14,9,No information,10,No information,2,7,1,"04/09/2021, 11:45"

Kazakhstan,https://www.sofascore.com/kazakhstan-ukraine/bUbsxVb#id:9223816,41%,No information,0,11,7,3,11,407,9,8,2,No information,6,0,3,2,3,8,0,0,0,No information,0,1,316,12,44,28/68 (41%),1/16 (6%),45%,5,23/55 (42%),15/30 (50%),6/7 (86%),44%,9,15,No information,13,No information,7,16,2,"01/09/2021, 07:00"
Ukraine,https://www.sofascore.com/kazakhstan-ukraine/bUbsxVb#id:9223816,59%,No information,7,25,4,4,8,576,6,10,2,No information,9,3,7,9,16,9,1,6,2,No information,3,1,494,15,62,22/45 (49%),8/19 (42%),55%,7,32/55 (58%),15/30 (50%),16/18 (89%),67%,6,10,No information,8,No information,4,7,2,"01/09/2021, 07:00"

