Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Armenia,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023415,70%,No information,2,14,3,7,11,693,8,11,2,0,7,0,3,4,8,6,2,0,0,No information,2,3,637,11,71,40/54 (74%),1/9 (11%),55%,8,32/60 (53%),10/16 (63%),13/17 (76%),63%,8,2,No information,6,No information,3,4,0,"08/06/2022, 11:45"

Ireland,https://www.sofascore.com/scotland-ireland/TTbsVTb#id:10023405,61%,No information,2,14,3,9,13,540,10,16,3,No information,3,0,5,6,9,5,2,0,No information,No information,5,0,461,18,40,24/55 (44%),7/23 (30%),46%,12,31/62 (50%),16/40 (40%),5/10 (50%),80%,10,6,No information,10,No information,3,6,3,"11/06/2022, 09:00"
Scotland,https://www.sofascore.com/scotland-ireland/TTbsVTb#id:10023405,39%,No information,1,9,1,3,17,339,17,11,5,No information,4,0,3,2,6,3,0,1,No information,No information,1,3,277,5,44,33/59 (56%),2/15 (13%),54%,7,31/62 (50%),24/40 (60%),3/6 (50%),65%,17,10,No information,26,No information,1,8,0,"11/06/2022, 09:00"

Armenia,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,30%,No information,3,9,3,4,11,290,12,11,5,2,4,0,2,3,5,4,1,2,1,No information,1,2,234,14,41,31/60 (52%),1/11 (9%),45%,2,28/60 (47%),6/16 (38%),5/11 (45%),50%,12,3,No information,13,No information,3,11,4,"14/06/2022, 09:00"
Scotland,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023701,70%,No information,2,14,3,7,11,693,8,11,2,0,7,0,3,4,8,6,2,0,0,No information,2,3,637,11,71,40/54 (74%),1/9 (11%),55%,8,32/60 (53%),10/16 (63%),13/17 (76%),63%,8,2,No information,6,No information,3,4,1,"14/06/2022, 09:00"

Scotland,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10255456,54%,No information,4,12,1,5,14,467,13,6,4,No information,3,0,7,2,8,4,No information,4,1,No information,1,5,379,30,53,26/55 (47%),5/18 (28%),47%,5,26/52 (50%),11/26 (42%),7/10 (70%),46%,13,16,No information,12,No information,1,5,3,"01/06/2022, 11:45"
Ukraine,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10255456,46%,No information,0,7,3,5,6,397,8,14,3,No information,1,0,3,3,3,4,No information,0,0,No information,4,1,308,23,66,37/71 (52%),1/16 (6%),53%,5,26/52 (50%),15/26 (58%),5/13 (38%),50%,8,11,No information,10,No information,3,11,1,"01/06/2022, 11:45"
